platform,year,depthmin,depthmax,Item,AvgMax,hard%,hardmm,soft%,softmm,Remarks
K9-B,2010,3.0,0.0,Row A,A,80.0,60.0,0.0,0.0,
K9-B,2010,3.0,0.0,Row B,A,80.0,40.0,0.0,0.0,
K9-B,2010,0.0,-12.0,Row 1,A,60.0,50.0,30.0,40.0,
K9-B,2010,0.0,-12.0,Row 2,A,80.0,50.0,20.0,30.0,
K9-B,2010,0.0,-12.0,Row A,A,60.0,20.0,20.0,20.0,
K9-B,2010,0.0,-12.0,Row B,A,60.0,50.0,40.0,50.0,
K9-B,2010,-12.0,-34.5,Row 1,A,0.0,0.0,100.0,80.0,
K9-B,2010,-12.0,-34.5,Row 2,A,10.0,40.0,90.0,60.0,
K9-B,2010,-12.0,-34.5,Row A,A,0.0,0.0,100.0,80.0,
K9-B,2010,-12.0,-34.5,Row B,A,0.0,0.0,80.0,80.0,
K9-B,2010,-12.0,-12.0,Level 1 ,A,40.0,40.0,40.0,50.0,
K9-B,2010,-12.0,-12.0,Conductor Field,A,80.0,20.0,20.0,30.0,
K9-B,2010,-34.5,-34.5,Level 2,A,0.0,0.0,100.0,80.0,
K9-B,2010,-34.5,-34.5,Conductor Field ,A,0.0,0.0,80.0,60.0,
K9-B,2008,3.0,-12.0,Rows and Elevations,A,54.0,76.0,36.0,50.0,
K9-B,2008,3.0,-12.0,Risers,A,90.0,75.0,10.0,40.0,
K9-B,2008,3.0,-12.0,Caissons,A,63.0,60.0,35.0,37.0,
K9-B,2008,3.0,-12.0,Conductors,A,49.0,38.0,39.0,17.0,
K9-B,2008,-12.0,-34.5,Rows and Elevations,A,0.0,0.0,100.0,86.0,
K9-B,2008,-12.0,-34.5,Risers,A,0.0,0.0,100.0,50.0,
K9-B,2008,-12.0,-34.5,Caissons,A,0.0,0.0,100.0,50.0,
K9-B,2008,-12.0,-34.5,Conductors,A,8.0,40.0,91.0,68.0,
K9-B,2008,3.0,-12.0,Rows and Elevations,M,100.0,70.0,80.0,60.0,
K9-B,2008,3.0,-12.0,Risers,M,100.0,100.0,20.0,40.0,
K9-B,2008,3.0,-12.0,Caissons,M,100.0,70.0,60.0,50.0,
